seccion_censal;cod_pos;cod_ine
0105905003;01010;01059
0105905006;01010;01059
0105905007;01010;01059
0105905008;01010;01059
0105905009;01010;01059
0105905010;01010;01059
0105905012;01010;01059
0105905013;01010;01059
0105905014;01010;01059
0105905015;01010;01059
0105905016;01010;01059
0105905017;01010;01059
0105905018;01010;01059
0105905019;01010;01059
0105905021;01010;01059
0105905022;01013;01059
0105905022;01010;01059
0105905023;01013;01059
0105905025;01013;01059
0105905026;01010;01059
0105905027;01010;01059
0105905028;01010;01059
0105905029;01010;01059
0105905030;01010;01059
0105905031;01010;01059
0105905032;01010;01059
0105905033;01010;01059
0105905034;01010;01059
0105905035;01010;01059
0105905036;01010;01059
0105905036;01013;01059
0105905037;01010;01059
0105905038;01010;01059
0105905039;01010;01059
0105906001;01192;01059
0105906001;01013;01059
0105906001;01520;01059
0105906001;01193;01059
0105906001;01194;01059
0105906002;01195;01059
0105906002;01194;01059
0105906002;01015;01059
0105906002;01007;01059
0105906003;01520;01059
0105906003;01013;01059
0105906003;01510;01059
0105906003;01196;01059
0105906003;01191;01059
0105906003;01010;01059
0105906003;01195;01059
0106001001;01322;01060
0106101001;01208;01061
0106201001;01212;01062
0106301001;01139;01063
0106301001;01130;01063
0106301001;01450;01063
0190101001;01230;01901
0190101001;01195;01901
0190101002;01428;01901
0190101002;01191;01901
0190101002;01195;01901
0190201001;01213;01902
0190201001;01423;01902
0200101001;02250;02001
0200201001;02152;02002
0200301001;02001;02003
0200301002;02005;02003
0200301002;02001;02003
0200301003;02005;02003
0200301003;02001;02003
0200301004;02001;02003
0200301004;02002;02003
0200301005;02001;02003
0200301005;02002;02003
0200301006;02001;02003
0200301006;02008;02003
0200301007;02001;02003
0200301008;02001;02003
0200301009;02001;02003
0200301010;02005;02003
0200301010;02001;02003
0200301010;02006;02003
0200301010;02099;02003
0200301011;02008;02003
0200301011;02001;02003
0200301012;02001;02003
0200301013;02001;02003
0200301014;02005;02003
0200301015;02005;02003
0200301017;02001;02003
0200301017;02005;02003
0200301018;02005;02003
0200302001;02005;02003
0200302002;02005;02003
0200302003;02005;02003
0200302004;02005;02003
0200302005;02005;02003
0200302006;02005;02003
0200302007;02005;02003
0200302008;02006;02003
0200302008;02005;02003
0200302009;02005;02003
0200302009;02006;02003
0200302010;02005;02003
0200302011;02005;02003
0200302012;02005;02003
0200302013;02005;02003
0200302014;02005;02003
0200302015;02005;02003
0200302016;02005;02003
0200302017;02005;02003
0200302018;02005;02003
0200302019;02006;02003
0200302020;02006;02003
0200302021;02006;02003
0200302021;02099;02003
0200302022;02005;02003
0200302023;02005;02003
0200302023;02006;02003
0200302024;02005;02003
0200302024;02006;02003
0200302024;02099;02003
0200303001;02004;02003
0200303001;02001;02003
0200303001;02005;02003
0200303002;02004;02003
0200303003;02004;02003
0200303004;02004;02003
0200303005;02004;02003
0200303006;02006;02003
0200303006;02004;02003
0200303007;02006;02003
0200303008;02006;02003
0200303009;02004;02003
0200303010;02004;02003
0200303010;02005;02003
0200303011;02004;02003
0200303011;02001;02003
0200303012;02006;02003
0200303013;02006;02003
0200303014;02006;02003
0200303014;02099;02003
0200304001;02004;02003
0200304002;02004;02003
0200304003;02004;02003
0200304004;02004;02003
0200304005;02006;02003
0200304006;02006;02003
0200304007;02006;02003
0200304008;02004;02003
0200304009;02004;02003
0200304010;02004;02003
0200304011;02006;02003
0200304011;02099;02003
0200304012;02006;02003
0200304012;02099;02003
0200304013;02006;02003
0200304014;02006;02003
0200305001;02001;02003
0200305001;02003;02003
0200305001;02004;02003
0200305002;02003;02003
0200305003;02003;02003
0200305004;02004;02003
0200305004;02003;02003
0200305005;02003;02003
0200305006;02003;02003
0200305006;02004;02003
0200305007;02003;02003
0200305007;02002;02003
0200305008;02003;02003
0200305008;02002;02003
0200305008;02004;02003
0200305009;02006;02003
0200305010;02003;02003
0200305010;02004;02003
0200305011;02003;02003
0200305011;02004;02003
0200305013;02006;02003
0200305013;02099;02003
0200306001;02002;02003
0200306001;02003;02003
0200306001;02001;02003
0200306002;02002;02003
0200306003;02003;02003
0200306003;02002;02003
0200306004;02003;02003
0200306005;02003;02003
0200306006;02003;02003
0200306006;02002;02003
0200306007;02002;02003
0200306008;02006;02003
0200306008;02099;02003
0200306009;02003;02003
0200306009;02002;02003
0200306010;02002;02003
0200306011;02002;02003
0200306012;02002;02003
0200306012;02003;02003
0200306013;02002;02003
0200306014;02006;02003
0200306014;02008;02003
0200307001;02002;02003
0200307001;02001;02003
0200307002;02002;02003
0200307003;02002;02003
0200307004;02002;02003
0200307005;02002;02003
0200307006;02001;02003
0200307006;02002;02003
0200307006;02008;02003
0200307007;02008;02003
0200307008;02008;02003
0200307008;02099;02003
0200307009;02008;02003
0200307010;02008;02003
0200307011;02008;02003
0200307013;02002;02003
0200307014;02008;02003
0200307014;02099;02003
0200307015;02008;02003
0200307016;02002;02003
0200307017;02008;02003
0200307017;02099;02003
0200308001;02099;02003
0200308001;02049;02003
0200308001;02511;02003
0200308001;02071;02003
0200308001;02140;02003
0200308001;02155;02003
0200308001;02006;02003
0200308001;02512;02003
0200308002;02328;02003
0200308002;02099;02003
0200308002;02140;02003
0200308003;02140;02003
0200308003;02099;02003
0200308006;02049;02003
0200308006;02099;02003
0200401001;02653;02004
0200501001;02215;02005
0200601001;02124;02006
0200601001;02128;02006
0200701001;02210;02007
0200701001;02211;02007
0200701001;02214;02007
0200801001;02300;02008
0200801001;02312;02008
0200801001;02314;02008
0200801001;02330;02008
0200901001;02640;02009
0200901002;02640;02009
0200902001;02640;02009
0200902002;02640;02009
0200902003;02640;02009
0200903001;02640;02009
0200903003;02640;02009
0200903004;02640;02009
0200903005;02640;02009
0200903006;02640;02009
0200903007;02640;02009
0200903008;02640;02009
0200903009;02640;02009
0200904001;02640;02009
0200904002;02640;02009
0200904003;02640;02009
0200904004;02640;02009
0201001001;02690;02010
0201002001;02690;02010
0201101001;02125;02011
0201101001;02139;02011
0201101001;02126;02011
0201101001;02124;02011
0201101001;02999;02011
0201201001;02320;02012
0201201002;02320;02012
0201301001;02214;02013
0201301001;02213;02013
0201401001;02614;02014
0201501001;02639;02015
0201601001;02360;02016
0201701001;02138;02017
0201701001;02130;02017
0201701001;02139;02017
0201701001;02448;02017
0201801001;02691;02018
0201901001;02610;02019
0201901002;02610;02019
0201901003;02610;02019
0202001001;02153;02020
0202101001;02151;02021
0202201001;02329;02022
0202301001;02212;02023
0202401001;02200;02024
0202401002;02200;02024
0202402001;02200;02024
0202501001;02660;02025
0202501002;02660;02025
0202501003;02660;02025
0202501004;02660;02025
0202501005;02660;02025
0202501006;02660;02025
0202501007;02660;02025
0202501007;02600;02025
0202601001;02247;02026
0202701001;02693;02027
0202801001;02461;02028
0202901001;02520;02029
0202901001;02529;02029
0202901001;02510;02029
0202902001;02520;02029
0202902001;02529;02029
0202902001;02692;02029
0202902001;02695;02029
0202902001;02156;02029
0203001001;02430;02030
0203002001;02430;02030
0203002001;02470;02030
0203002001;02439;02030
0203002001;02449;02030
0203101001;02436;02031
0203201001;02637;02032
0203301001;02651;02033
0203301002;02651;02033
0203401001;02249;02034
0203401001;02251;02034
0203401001;02260;02034
0203501001;02110;02035
0203501002;02110;02035
0203601001;02253;02036
0203701001;02400;02037
0203701002;02400;02037
0203701003;02400;02037
0203701004;02400;02037
0203702001;02400;02037
0203702002;02400;02037
0203702003;02400;02037
0203702004;02400;02037
0203703001;02400;02037
0203703002;02400;02037
0203703003;02400;02037
0203703004;02400;02037
0203703005;02400;02037
0203703006;02400;02037
0203703007;02400;02037
0203704001;02400;02037
0203704001;02409;02037
0203704001;02499;02037
0203705001;02420;02037
0203705003;02409;02037
0203706001;02490;02037
0203706001;02499;02037
0203706001;02498;02037
0203801001;02162;02038
0203901001;02690;02039
0203901001;02694;02039
0204001001;02696;02040
0204101001;02249;02041
0204101001;02248;02041
0204201001;02434;02042
0204301001;02160;02043
0204301001;02161;02043
0204401001;02124;02044
0204401001;02410;02044
0204401001;02142;02044
0204501001;02230;02045
0204501002;02230;02045
0204502001;02230;02045
0204502002;02230;02045
0204601001;02240;02046
0204701001;02314;02047
0204801001;02620;02048
0204901001;02449;02049
0204901001;02440;02049
0204901001;02448;02049
0205001001;02638;02050
0205101001;02650;02051
0205102001;02650;02051
0205201001;02220;02052
0205301001;02612;02053
0205302001;02612;02053
0205303001;02612;02053
0205401001;02246;02054
0205501001;02536;02055
0205501001;02535;02055
0205501001;02534;02055
0205501001;02539;02055
0205501001;02530;02055
0205501001;02537;02055
0205501001;02538;02055
0205601001;02652;02056
0205602001;02652;02056
0205701001;02611;02057
0205701002;02611;02057
0205801001;02137;02058
0205801001;02136;02058
0205901001;02138;02059
0205901001;02313;02059
0205901001;02013;02059
0205901001;02314;02059
0206001001;02127;02060
0206001001;02128;02060
0206001001;02120;02060
0206101001;02692;02061
0206101001;02693;02061
0206201001;02311;02062
0206301001;02129;02063
0206301001;02142;02063
0206301001;02141;02063
0206401001;02154;02064
0206501001;02327;02065
0206601001;02249;02066
0206701001;02459;02067
0206701001;02450;02067
0206701001;02462;02067
0206801001;02332;02068
0206801001;02331;02068
0206801001;02340;02068
0206901001;02630;02069
0206901002;02630;02069
0206901003;02630;02069
0206901004;02630;02069
0206902001;02630;02069
0206902002;02630;02069
0206902002;02639;02069
0206902003;02630;02069
0206902004;02630;02069
0206903001;02630;02069
0206903002;02630;02069
0207001001;02316;02070
0207101001;02326;02071
0207201001;02435;02072
0207201001;02437;02072
0207202001;02437;02072
0207301001;02100;02073
0207301002;02100;02073
0207301003;02100;02073
0207302001;02100;02073
0207302002;02100;02073
0207401001;02500;02074
0207402001;02500;02074
0207402002;02500;02074
0207403001;02500;02074
0207404001;02513;02074
0207404001;02514;02074
0207501001;02150;02075
0207502001;02150;02075
0207601001;02315;02076
0207701001;02213;02077
0207801001;02636;02078
0207801001;02236;02078
0207901001;02270;02079
0207902001;02270;02079
0208001001;02350;02080
0208101001;02600;02081
0208101001;02660;02081
0208101002;02600;02081
0208101003;02600;02081
0208102001;02600;02081
0208102002;02600;02081
0208102003;02600;02081
0208102004;02600;02081
0208103001;02600;02081
0208103002;02600;02081
0208103003;02600;02081
0208103003;02612;02081
0208103004;02600;02081
0208103004;02660;02081
0208104001;02600;02081
0208104002;02600;02081
0208104003;02612;02081
0208104003;02600;02081
0208104004;02600;02081
0208201001;02215;02082
0208301001;02154;02083
0208401001;02460;02084
0208401001;02462;02084
0208501001;02310;02085
0208601001;02489;02086
0208601001;02484;02086
0208601001;02487;02086
0208601001;02486;02086
0208601001;02480;02086
0208601001;02485;02086
0208601003;02482;02086
0208601003;02489;02086
0208601003;02486;02086
0208601003;02488;02086
0208601003;02480;02086
0290101001;02510;02901
0290101001;02099;02901
0290101002;02510;02901
0290101002;02099;02901
0300101001;03786;03001
0300201001;03698;03002
0300201002;03698;03002
0300201003;03698;03002
0300301001;03837;03003
0300401001;03569;03004
0300501001;03340;03005
0300501002;03340;03005
0300501003;03340;03005
0300501004;03340;03005
0300502001;03340;03005
0300502002;03340;03005
0300502003;03340;03005
0300601001;03728;03006
0300601001;03759;03006
0300601001;03723;03006
0300701001;03841;03007
0300801001;03814;03008
0300901001;03801;03009
0300901003;03801;03009
0300901004;03801;03009
0300901006;03801;03009
0300902001;03801;03009
0300902002;03801;03009
0300902003;03801;03009
0300902004;03801;03009
0300902005;03801;03009
0300902007;03801;03009
0300903001;03802;03009
0300903002;03802;03009
0300903003;03802;03009
0300903004;03802;03009
0300903005;03802;03009
0300903005;03801;03009
0300903006;03802;03009
0300903006;03801;03009
0300904001;03802;03009
0300904001;03801;03009
0300904002;03802;03009
0300904002;03801;03009
0300904003;03802;03009
0300904004;03802;03009
0300904005;03802;03009
0300904006;03802;03009
0300904007;03802;03009
0300904008;03802;03009
0300905001;03803;03009
0300905001;03801;03009
0300905002;03803;03009
0300905003;03803;03009
0300905004;03803;03009
0300905005;03803;03009
0300905006;03803;03009
0300906001;03803;03009
0300906002;03803;03009
0300906003;03803;03009
0300906004;03803;03009
0300906004;03804;03009
0300906005;03803;03009
0300907001;03804;03009
0300907002;03804;03009
0300907003;03804;03009
0300907005;03804;03009
0300907007;03804;03009
0300907008;03804;03009
0300908001;03804;03009
0300908002;03804;03009
0300908003;03802;03009
0300908003;03818;03009
0300908003;03800;03009
0300908003;03819;03009
0300908003;03801;03009
0300908003;03804;03009
0300908003;03803;03009
0300908004;03804;03009
0300908005;03804;03009
0300908006;03804;03009
0300908007;03804;03009
0301001001;03838;03010
0301101001;03580;03011
0301101002;03581;03011
0301101002;03580;03011
0301101003;03580;03011
0301101004;03580;03011
0301101005;03580;03011
0301101006;03581;03011
0301101007;03580;03011
0301101008;03580;03011
0301101008;03581;03011
0301201001;03169;03012
0301201001;03176;03012
0301301001;03668;03013
0301401001;03003;03014
0301401001;03001;03014
0301401001;03002;03014
0301401002;03003;03014
0301401003;03003;03014
0301401004;03003;03014
0301401005;03001;03014
0301401005;03003;03014
0301401006;03003;03014
0301401007;03003;03014
0301401008;03003;03014
0301401009;03001;03014
0301401010;03001;03014
0301401011;03002;03014
0301401011;03001;03014
0301401011;03004;03014
0301401012;03002;03014
0301401014;03001;03014
0301401015;03001;03014
0301401017;03001;03014
0301401017;03002;03014
0301401018;03002;03014
0301401018;03001;03014
0301401019;03002;03014
0301401020;03003;03014
0301401021;03003;03014
0301401022;03003;03014
0301401023;03003;03014
0301401026;03002;03014
0301402001;03005;03014
0301402002;03005;03014
0301402003;03004;03014
0301402005;03004;03014
0301402006;03004;03014
0301402008;03004;03014
0301402009;03004;03014
0301402010;03004;03014
0301402010;03009;03014
0301402011;03009;03014
0301402011;03010;03014
